,0,1,2,3,4,5,6,7,8,9
69,ARAS Medellin,CLOSED_TEMPORARILY,"Cl. 49 #67 No 68, Medellín, Antioquia, Colombia",ChIJeQjggwUpRI4R-Z3nyK1n1xY,6.2564246,-75.58552190000002,0.0,"['school', 'point_of_interest', 'establishment']",0,school
70,Paragon English School,OPERATIONAL,"Cra. 76 #359, Medellín, Antioquia, Colombia",ChIJnTFPcqIpRI4RCZF1ryN7kbE,6.242600299999999,-75.59710249999999,5.0,"['school', 'point_of_interest', 'establishment']",1,school
71,"Medellín, Antioquia",OPERATIONAL,"Cra. 40a, Medellín, Antioquia, Colombia",ChIJ2eok6h4pRI4RjkDUP6BKmhA,6.2531306,-75.5569244,0.0,"['school', 'point_of_interest', 'establishment']",0,school
72,Colegio De Música De Medellín,CLOSED_TEMPORARILY,"Tv. 37 ##72-78, Medellín, Antioquia, Colombia",ChIJFZdu-KIpRI4RbC6iqoE7_VI,6.2411384,-75.59475259999999,4.4,"['school', 'point_of_interest', 'establishment']",8,school
73,Blink Spanish Immersion School & Hostel,OPERATIONAL,"Cl. 12 ##43d-19, Medellín, Antioquia, Colombia",ChIJNZ2I7CwoRI4RgLsLUItmIAw,6.213461199999999,-75.57179570000001,4.8,"['school', 'point_of_interest', 'establishment']",66,school
74,Saber Preuniversitario Medellín,OPERATIONAL,"Cl. 49 ##45-26, Medellín, Antioquia, Colombia",ChIJ11PQdhApRI4RPZRuZMZbEY8,6.2473101,-75.5651443,5.0,"['school', 'point_of_interest', 'establishment']",1,school
75,INSTITUTO POLIANDINO MEDELLIN,OPERATIONAL,"Cra. 50 ##39-60, Medellín, Antioquia, Colombia",ChIJwRqLLN0pRI4Rw9AARqvgXQ8,6.2401664,-75.5714912,0.0,"['school', 'point_of_interest', 'establishment']",0,school
76,ACASEC,OPERATIONAL,"EDIFICIO CARDENAS, CALLE 52# 50-29, Medellín, Antioquia, Colombia",ChIJkWdt578pRI4Rns7MKOXH7es,6.2478679,-75.5588375,5.0,"['school', 'point_of_interest', 'establishment']",2,school
77,Agustiniano Colegio Medellin,OPERATIONAL,"Medellín, Antioquia, Colombia",ChIJL3OXoZIoRI4RCX4sfBj80dc,6.258502699999999,-75.5496355,5.0,"['secondary_school', 'school', 'point_of_interest', 'establishment']",1,school
78,Cru Medellín,OPERATIONAL,"Cra. 67b ##48-21, Medellín, Antioquia, Colombia",ChIJ_5Y8wAUpRI4RxrzKL7sMJKY,6.2543605,-75.5851814,4.5,"['school', 'point_of_interest', 'establishment']",2,school
79,Sección Escuela Luis Alfonso Agudelo,OPERATIONAL,"Cra. 43a #3856, Medellín, Antioquia, Colombia",ChIJFYRcDE4oRI4RbeBfzlgjjfM,6.2370076,-75.56794959999999,3.5,"['school', 'point_of_interest', 'establishment']",2,school
80,Terminal del Sur,OPERATIONAL,"Cra. 65 #8B-91, Medellín, Antioquia, Colombia",ChIJ7wKzm9opRI4RPOB9yIFAZYo,6.2162457,-75.5864253,4.4,"['transit_station', 'point_of_interest', 'establishment']",173,transit+station
81,Terminal Buses Campo Valdez,OPERATIONAL,"Cl. 84 #40, Medellín, Antioquia, Colombia",ChIJNyBdxcUoRI4RMrFMpD-ojn0,6.277229999999999,-75.55758999999999,1.0,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",1,transit+station
82,Poblado,OPERATIONAL,"Medellín, Antioquia, Colombia",ChIJcbaNcdQpRI4RH_4DrSRgZd0,6.212681,-75.5780401,4.2,"['train_station', 'transit_station', 'point_of_interest', 'establishment']",1653,transit+station
