,0,1,2,3,4,5,6,7,8,9
63,Zoológico de Barranquilla,OPERATIONAL,"Esquina, Calle 76 con Carrera 68, Barranquilla, Atlántico, Colombia",ChIJ5Vi6qpAt9I4RVEzBWjjkGVw,11.0108336,-74.7978779,4.4,"['zoo', 'tourist_attraction', 'point_of_interest', 'establishment']",8010,point+of+interes
64,Edificio De La Aduana,OPERATIONAL,"Cra. 5b #49b-1 #49b-151 a, Barranquilla, Atlántico, Colombia",ChIJFTwTrrjS9Y4RhS7UCV1AHRo,10.9884159,-74.7789327,4.5,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",81,point+of+interes
65,BARRANQUILLA CIUDAD PARQUE,OPERATIONAL,"Cra. 54 #58, Barranquilla, Atlántico, Colombia",ChIJeTG-O3ot9I4RZP9NHiDPBMw,10.9934978,-74.7903491,4.4,"['park', 'point_of_interest', 'establishment']",17,point+of+interes
66,Museo de Arte Moderno de Barranquilla,OPERATIONAL,"Barranquilla, Atlántico, Colombia",ChIJt-UuJJ0y9I4Rfnh1N-1ONNM,10.9869869,-74.7779899,4.0,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",9,point+of+interes
67,Parque Villa Santos,OPERATIONAL,"Barranquilla, Atlántico, Colombia",ChIJZQcti1Is9I4RyUrzu8VsIzs,11.0111267,-74.8300239,4.6,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",740,point+of+interes
68,Plaza de bolivar,OPERATIONAL,"Centrl historico de barranquilla, Barranquilla, Atlántico, Colombia",ChIJwT-8XPot9I4REcYhDnLdkF4,11.0057747,-74.8481195,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,point+of+interes
69,Parque Washington,OPERATIONAL,"Cra 53, Cl. 80, Barranquilla, Atlántico, Colombia",ChIJnUJXoqYt9I4RmDqYpvpQkNM,11.0055351,-74.81109219999999,4.4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",1776,point+of+interes
70,Mirador cerro de Los Nogales,OPERATIONAL,"#84- a, Cra. 42a 1 ##84311, Barranquilla, Atlántico, Colombia",ChIJf1N5af0s9I4RJ8ujn-xJtjY,10.9922961,-74.8290765,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",829,point+of+interes
71,Divercity- Barranquilla,OPERATIONAL,"Centro Comercial Buenavista, Cl. 99 #53-115 Piso 4, Barranquilla, Atlántico, Colombia",ChIJ_zBdQU0s9I4RMyYENVjyL0I,11.0134827,-74.8284987,4.5,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",923,point+of+interes
72,Parque Los Fundadores,OPERATIONAL,"Barranquilla, Atlántico, Colombia",ChIJNaltHHct9I4RwOV0f9TltTc,10.9948258,-74.7936656,4.6,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",1652,point+of+interes
