,0,1,2,3,4,5,6,7,8,9
50,Kaputt Club Bogotá,OPERATIONAL,"# 72a 10, Av. Caracas, Bogotá, Colombia",ChIJ4w3VTJWbP44RxWk49DIK1jg,4.6603698,-74.06202569999999,3.7,"['night_club', 'point_of_interest', 'establishment']",68,night+club
51,Zafiro's Club,OPERATIONAL,"# a 15a-47,, Cl. 61 #151, Bogotá, Colombia",ChIJ-9asQkiaP44R_tdVMqjudbE,4.648414199999999,-74.06676379999999,4.0,"['night_club', 'point_of_interest', 'establishment']",22,night+club
52,Mistyko Club Bta,CLOSED_TEMPORARILY,"Cra. 107 ##143-59, Bogotá, Colombia",ChIJ8ywhh1-EP44RK7a0mR_VNCo,4.7472606,-74.0980043,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
53,Maguncia Discoteca Bar,OPERATIONAL,"Autopista Nte. #14648, Bogotá, Bogotá D.C., Cundimanarca, Colombia",ChIJQ3Ihu2uFP44RryAwbk9DM5Y,4.7294159,-74.0495944,4.3,"['night_club', 'bar', 'point_of_interest', 'establishment']",326,night+club
54,Centuion Disco Bar,CLOSED_TEMPORARILY,"Cl. 72 ## 68 F - 18, Bogotá, Colombia",ChIJcwi943KbP44ROUw6-YTmzSk,4.6796972,-74.08751629999999,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
55,Magic Club,CLOSED_TEMPORARILY,"Cl. 72 #70g-32 a, Cra. 70G #100, Bogotá, Colombia",ChIJOx--4sqbP44RewTVndkABVQ,4.685578599999999,-74.093609,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
56,Gloss,CLOSED_TEMPORARILY,"Cl. 93b #11a14, Bogotá, Colombia",ChIJvy2r95GaP44RdzCEOQG1C0E,4.6770789,-74.0477834,4.5,"['night_club', 'point_of_interest', 'establishment']",6,night+club
57,Mangos night club,CLOSED_TEMPORARILY,"Cl. 150c #103f-28 p 3, Bogotá, Cundinamarca, Colombia",ChIJOQ8qsRuFP44RZr7KtnBcgWw,4.7498986,-74.09395630000002,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
58,"Whiskeria Level 3 Club ""La Patrona""",OPERATIONAL,"Segundo Piso, Cl. 170 #20-19, Tuberin, Bogotá, Colombia",ChIJeWbLopyFP44Re-YwMmNckn8,4.7502036,-74.0431273,4.1,"['night_club', 'point_of_interest', 'establishment']",45,night+club
59,Club de Eventos Casa Nova,CLOSED_TEMPORARILY,"Cra. 19a #104, Usaquén, Bogotá, Colombia",ChIJLdhGRr-aP44RL7HbxqGSkqg,4.6904013,-74.0523154,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
60,Plaza de Bolívar de Bogotá,OPERATIONAL,"Cra. 7 #11-10, La Candelaria, Bogotá, Colombia",ChIJj-XP7KeZP44RdhQ1NSu3nAk,4.5981206,-74.0760435,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",54140,point+of+interes
61,CHORRO DE PADILLA,OPERATIONAL,"Bogotá, Colombia",ChIJYSyVWo6ZP44R8ow6TcsvIJw,4.6014864,-74.0591269,4.7,"['tourist_attraction', 'point_of_interest', 'establishment']",3,point+of+interes
62,Puente de la Virgen,OPERATIONAL,"Ac. 145, Bogotá, Colombia",ChIJL4ldV-KEP44R7j0E3rc66_4,4.7340089,-74.0785282,4.0,"['tourist_attraction', 'point_of_interest', 'establishment']",70,point+of+interes
63,Calle del Farol,OPERATIONAL,"Cra. 1 Este #10-6, La Candelaria, Bogotá, Colombia",ChIJN5JC266ZP44R6ks3ufLxmfU,4.593734899999999,-74.0700884,4.4,"['point_of_interest', 'establishment']",46,point+of+interes
64,Calle De Verma,OPERATIONAL,"Esquina con Calle 9, Cra. 3 #S/N, La Candelaria, Bogotá, Colombia",ChIJeVrYHamZP44RfaY0VFpbe5g,4.5942409,-74.0729801,4.5,"['point_of_interest', 'establishment']",77,point+of+interes
65,Casa de la Pola,OPERATIONAL,"71, Cl. 18 #1, Bogotá, Colombia",ChIJN2O_m6SZP44RiQCuNWqO2dU,4.6012898,-74.0671902,5.0,"['point_of_interest', 'establishment']",5,point+of+interes
66,Parque Central Simón Bolívar,OPERATIONAL,"Av. Calle 53 y Av. Esmeralda #s/n, Bogotá, Cundinamarca, Colombia",ChIJPTkQGJKFP44RO7BCQGQ_lR0,4.6584796,-74.09345789999999,4.7,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",58898,point+of+interes
67,PUENTE CARLOS HOLGUIN,OPERATIONAL,"Bogotá, Colombia",ChIJax_2FDmZP44RVeEdxC2bN1c,4.601205,-74.05920669999999,4.0,"['point_of_interest', 'establishment']",1,point+of+interes
68,Calle de la Plenitud,OPERATIONAL,"Cra. 1 #61, La Candelaria, Bogotá, Colombia",ChIJdV_nSqmZP44R14tBCFDEHVo,4.5929322,-74.07122799999999,4.3,"['point_of_interest', 'establishment']",3,point+of+interes
69,Cazona Vivienda Pedro Claver Fontibon,OPERATIONAL,"Bogotá, Colombia",ChIJTaONO5edP44RmmwAopLpTyI,4.672979,-74.144266,0.0,"['point_of_interest', 'establishment']",0,point+of+interes
70,Calle de las margaritas,OPERATIONAL,"Calle 13A, La Candelaria, Bogotá, Colombia",ChIJbx-WiKWZP44RFIS7z1bOSdE,4.5969827,-74.0689964,4.2,"['point_of_interest', 'establishment']",5,point+of+interes
71,CALLE CARA DE PERRO,OPERATIONAL,"Esquina con Carrera 2, Cl. 15 #S/N, La Candelaria, Bogotá, Colombia",ChIJ9bxES6SZP44RoYv3TIwC_Qo,4.599304699999999,-74.0693508,4.2,"['tourist_attraction', 'point_of_interest', 'establishment']",56,point+of+interes
72,Jardín Botánico de Bogotá José Celestino Mutis,OPERATIONAL,"Cl. 63 #6895, Bogotá, Colombia",ChIJKy8crgqbP44RqGHYK0w3TjY,4.668080799999999,-74.10009409999999,4.7,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",36217,point+of+interes
73,Calle de Quesada,OPERATIONAL,"Esquina Calle 12, Cra. 5, La Candelaria, Bogotá, Colombia",ChIJx3PaOKaZP44Rk9MQXsNqg2o,4.5979569,-74.07301939999999,4.1,"['point_of_interest', 'establishment']",9,point+of+interes
