,ciudad,codproyecto,direccion,latitud,longitud
304,Bogota,C90211,Km 2 Vía Funza Siberia,,
305,Bogota,C90212,Cr. 15 # 19-60 Chía,4.6812515,-74.04995559999999
307,Bogota,C90214,Cr. 12 # 97-80,4.681649699999999,-74.0461231
308,Bogota,C90215,Dg. 2B # 82-30,4.6382508,-74.1556384
309,Bogota,C90216,Av. Esperanza Cr. 50,4.637879,-74.09763
311,Bogota,C90218,Cr. 7 # 127-48 ,4.703228999999999,-74.02791309999999
312,Bogota,C90219,"Vía Siberia Km. 9,5",,
313,Bogota,C90220,Cl. 130 # 58-20,4.719848799999999,-74.0678087
314,Bogota,C90221,Av. 7 # 166-04,4.742964199999999,-74.0221844
315,Bogota,C90222,Cl. 98 # 8-28,4.6796557,-74.0404501
316,Bogota,C90223,Cr. 55 # 152B-58,4.739133,-74.0575589
317,Bogota,C90225,Cl. 97 Cr. 8,4.4997469,-74.1142615
318,Bogota,C90226,Km 1.5 Vía Siberia - Cota,,
319,Bogota,C90227,Av. 19 # 95-55,4.682898,-74.0527389
320,Bogota,C90228,Cl. 127 # 22c-18,4.703885,-74.04421239999999
321,Bogota,C90229,Cr. 14 # 93-40,4.676690799999999,-74.0508047
322,Bogota,C90230,Av. 9 # 103A-36,4.6873007,-74.0435299
324,Bogota,C90232,Cl. 104 # 14A-25/45,4.6885112,-74.0462196
325,Bogota,C90233,Cr. 10 # 1A-50 Chía,4.8615787,-74.0325368
326,Bogota,C90234,Cl. 153 # 59-15,4.7412848,-74.0640987
327,Bogota,C90235,Cl. 124 # 7-25/35,4.699686499999999,-74.02938569999999
328,Bogota,C90236,Av. Cr. 45 # 95-94,4.6848066,-74.0572189
331,Bogota,C90239,Cl. 108 Con Aut. Norte,4.6953469,-74.05615499999999
332,Bogota,C90240,Cr. 11A # 94-45,4.678026,-74.0470969
333,Bogota,C90241,Cl. 99 # 7A-77,4.6793781,-74.0396768
334,Bogota,C90242,Autodromo de Tocancipa,4.9608519,-73.9476868
335,Bogota,C90243,Vereda Canavita Tocancipa,4.943589999999999,-73.9161
336,Bogota,C90244,Cr. 54 # 149-23,4.7324603,-74.05617939999999
337,Bogota,C90245,Aut Norte # 100-74,4.6882047,-74.056404
339,Bogota,C90247,Cr. 19A # 90-13,4.676612,-74.0569276
340,Bogota,C90248,Av. NQS Cl. 38 Sur,4.5937115,-74.11341329999999
341,Bogota,C90249,Av. 19 # 97-31,4.6724833,-74.1423123
344,Bogota,C90252,Av. Cl. 116 # 9-72,4.6952728,-74.0361152
345,Bogota,C90253,Av. 9 # 123-86,4.7003957,-74.0326862
346,Bogota,C90254,Cr. 15 # 102-44,4.6873263,-74.0473854
347,Bogota,C90255,Tocancipá,4.965937299999999,-73.9130599
350,Bogota,C90258,Vía Sibería,4.7992783,-74.1107167
355,Bogota,C90263,Cl. 100 Cr. 14,4.6842459,-74.0471345
